type,organization,comment,coords,photo,address,district,subdistrict,province,timestamp
อื่นๆ,เพื่อนชัชชาติ,ความปลอดภัย,"[100.468087,13.712739]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/96f6cf6cded879b3c60920ec5e43af5f87ecdf9e.jpg,"70/9 ซ. กัลปพฤกษ์ แขวง บางค้อ เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย",จอมทอง,บางค้อ,กรุงเทพมหานคร,"2022-03-21 03:42:49.662167+00"
น้ำท่วม,เพื่อนชัชชาติ,"น้ำท่วมในซอยประชาราษฎร์บำเพ็ญ 20 มาหลายปีแล้ว ก่อนหน้านี้ไม่เคยท่วมครับ พอมีการก่อสร้างท่อใหม่ล่าสุด หลังจากนั้นก็ท่วมตลอด และไม่มีการระบาย ทั้งๆที่ซอยข้างเคียงน้ำแห้งหมดแล้ว ตรงนี้จะกลายเป็นแอ่งน้ำท่วมตลอดวัน","[100.582624201267,13.7747861954847]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/eda6ab6594fc85f3850d01c513945fa75c203256.jpg,"2/41 ซอย ประชาราษฎร์บำเพ็ญ 20 แขวง สามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,"2022-03-20 15:46:49.254093+00"
อื่นๆ,เพื่อนชัชชาติ,น้ำท่วม,"[100.582624201267,13.7747861954847]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/c14acc6c9d62494a931bd21ddda506be5ceb68c8.jpg,"2/41 ซอย ประชาราษฎร์บำเพ็ญ 20 แขวง สามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,"2022-03-20 15:43:01.546614+00"
น้ำท่วม,เพื่อนชัชชาติ,"น้ำท่วมขัง เส้นประชาราษฎร์บำเพ็ญ ห้วยขวาง","[100.579496,13.776825]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/84a079b37ed15f3223b57e3a7647cc8104e24b65.jpg,"238/3 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 แขวง ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,"2022-03-20 10:09:02.354578+00"
อื่นๆ,เพื่อนชัชชาติ,อยากทำหมันแมว,"[100.798616542995,13.8498441666148]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/84d81c5c45e94c6c17307aff268f46e7195293c5.jpg,"2058 ถนน ประชาร่วมใจ แขวง ทรายกองดินใต้ เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย",คลองสามวา,ทรายกองดินใต้,กรุงเทพมหานคร,"2022-03-20 01:49:20.041482+00"
เสนอแนะ,เพื่อนชัชชาติ,ขี้เหยี่ยวเรือดราด,"[100.798616542995,13.8498441666148]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/7bbb15cc652fdd6bd0c9076a0543e04d2313836c.jpg,"2058 ถนน ประชาร่วมใจ แขวง ทรายกองดินใต้ เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย",คลองสามวา,ทรายกองดินใต้,กรุงเทพมหานคร,"2022-03-20 01:08:49.509855+00"
เสนอแนะ,เพื่อนชัชชาติ,"จราจร ทางเท้า ทางม้าลาย","[100.513924397528,13.739187071251]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/e360f11260236ec16fe1f725722cb93fd5cb0ef1.jpg,"103 ซอย นานา แขวง ป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย",สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,"2022-03-19 11:14:18.927464+00"
อื่นๆ,เพื่อนชัชชาติ,"ทางแยกระหว่างซอยนานา-ถนนพระราม4 ถึงจะเป็นถนนเส้นที่คนไม่ได้พลุ่งพล่านมาก แต่ก็มีคนข้ามไปมาอยู่ตลอด ช่วงที่ปล่อยรถจากแยกหัวลำโพงข้ามคลองผดุงฯมา เนื่องจากเป็นเส้นตรงยาวและบางครั้งถนนก็ว่างมาก รถที่ข้ามแยกมาจะวิ่งมาด้วยความเร็วมากๆ มักเกิดอุบัติเหตุบ่อยครั้งตรงหัวมุมซอย อยากให้มีทางม้าลายสำหรับคนข้ามให้เป็นกิจจะลักษณะ ไม่ถึงขั้นกับต้องมีไฟข้ามถนนก็ได้ แต่ถ้ามีทางม้าลายก่อนถึงแยกตรงนี้ น่าจะพอช่วยให้รถที่วิ่งมาทางตรงชะลอลงได้บ้าง","[100.513917021453,13.7391733925713]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/d86d9c16d4388b62a6cd1036c772cbe3098e9602.jpg,"103 ซอย นานา แขวง ป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย",สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,"2022-03-19 11:13:12.646501+00"
ทางเท้า,เพื่อนชัชชาติ,"สงสัยค่ะ การจอดรถบนฟุตบาทคือผิด ประชาชนร้องเรียนเอาผิดได้ แต่การร้องเรียนผ่านเวบไซต์ของสำนักเทศกิจ กลับตอบกลับอัพเดตประชาชนว่าส่งฟ้องไม่ได้ ตามภาพประกอบ 

เราได้แจ้งพิกัดจุด ว่าอยู่ตรงไหน สภาพแวดล้อมในภาพมันไม่มีทางเปลี่ยนแปลงเคลื่อนย้ายไปได้อะค่ะ ภาพเห็นอยู่ทนโท่ว่า จอดบนฟุตบาท อีกทั้งไม่มีการสอบถามเพิ่มเติมขยายผล เหมือนปิดเคสให้มันจบๆไป 

ทางเทศกิจอัพเดตระบบมาเหมือนประชาชนโง่เลย แบบนี้ก็ไม่ต่างกับส่งเสริมให้คนทำผิดเลยค่ะ เราก็คิดนะคะ ต้องถ่ายรูปขนาดไหนถึงเอาผิดกับคนพวกนี้ได้","[100.559517592192,13.7700838665743]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/45bbe5543e695f351185e363a7c543fb80bd3d98.jpg,"ตรงข้ามโรงเรียนพร้อมพรรณ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-03-17 14:12:52.56103+00"
ทางเท้า,เพื่อนชัชชาติ,"สงสัยค่ะ การจอดรถบนฟุตบาทคือผิด ประชาชนร้องเรียนเอาผิดได้ แต่การร้องเรียนผ่านเวบไซต์ของสำนักเทศกิจ กลับตอบกลับอัพเดตประชาชนว่าส่งฟ้องไม่ได้ ตามภาพประกอบ 

เราได้แจ้งพิกัดจุด ว่าอยู่ตรงไหน สภาพแวดล้อมในภาพมันไม่มีทางเปลี่ยนแปลงเคลื่อนย้ายไปได้อะค่ะ ภาพเห็นอยู่ทนโท่ว่า จอดบนฟุตบาท อีกทั้งไม่มีการสอบถามเพิ่มเติมขยายผล เหมือนปิดเคสให้มันจบๆไป 

ทางเทศกิจอัพเดตระบบมาเหมือนประชาชนโง่เลย แบบนี้ก็ไม่ต่างกับส่งเสริมให้คนทำผิดเลยค่ะ เราก็คิดนะคะ ต้องถ่ายรูปขนาดไหนถึงเอาผิดกับคนพวกนี้ได้","[100.559512898326,13.7700848434939]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/652d3a5b284c2e12b8a5b6dcc86e94503dd30c31.jpg,"ตรงข้ามโรงเรียนพร้อมพรรณ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-03-17 13:44:37.242707+00"
